TIME [ps]	E_TOT [kJ/mol]	E_POT [kJ/mol]	TEMP. [K]	PRES. [kJ/mol/nm^3]
0.237000	-654.650485	-662.695176	5.163059	3.981753	
0.238000	-654.650486	-662.722465	5.180572	3.989285	
0.239000	-654.650486	-662.750425	5.198516	3.996963	
0.240000	-654.650487	-662.779044	5.216884	4.004785	
0.241000	-654.650488	-662.808311	5.235666	4.012748	
0.242000	-654.650489	-662.838214	5.254857	4.020849	
0.243000	-654.650489	-662.868741	5.274449	4.029086	
0.244000	-654.650490	-662.899881	5.294434	4.037456	
0.245000	-654.650491	-662.931621	5.314804	4.045957	
0.246000	-654.650492	-662.963949	5.335552	4.054587	
0.247000	-654.650493	-662.996852	5.356669	4.063343	
0.248000	-654.650493	-663.030319	5.378147	4.072223	
0.249000	-654.650494	-663.064336	5.399978	4.081224	
0.250000	-654.650495	-663.098889	5.422154	4.090343	
0.251000	-654.650496	-663.133967	5.444667	4.099577	
0.252000	-654.650497	-663.169555	5.467506	4.108923	
0.253000	-654.650498	-663.205641	5.490666	4.118377	
0.254000	-654.650499	-663.242211	5.514135	4.127935	
0.255000	-654.650499	-663.279250	5.537907	4.137594	
0.256000	-654.650500	-663.316746	5.561971	4.147348	
0.257000	-654.650501	-663.354685	5.586319	4.157193	
0.258000	-654.650502	-663.393051	5.610942	4.167124	
0.259000	-654.650503	-663.431833	5.635831	4.177135	
0.260000	-654.650504	-663.471014	5.660977	4.187222	
0.261000	-654.650505	-663.510581	5.686370	4.197380	
0.262000	-654.650506	-663.550519	5.712002	4.207602	
0.263000	-654.650507	-663.590814	5.737863	4.217884	
0.264000	-654.650508	-663.631452	5.763943	4.228221	
0.265000	-654.650509	-663.672417	5.790234	4.238607	
0.266000	-654.650509	-663.713695	5.816725	4.249038	
0.267000	-654.650510	-663.755271	5.843408	4.259509	
0.268000	-654.650511	-663.797131	5.870273	4.270015	
0.269000	-654.650512	-663.839259	5.897310	4.280551	
0.270000	-654.650513	-663.881640	5.924510	4.291113	
0.271000	-654.650514	-663.924261	5.951863	4.301697	
0.272000	-654.650515	-663.967105	5.979360	4.312298	
0.273000	-654.650516	-664.010158	6.006990	4.322912	
0.274000	-654.650517	-664.053404	6.034745	4.333536	
0.275000	-654.650518	-664.096829	6.062615	4.344166	
0.276000	-654.650519	-664.140418	6.090589	4.354797	
0.277000	-654.650520	-664.184155	6.118659	4.365427	
0.278000	-654.650521	-664.228026	6.146814	4.376051	
0.279000	-654.650522	-664.272015	6.175046	4.386666	
0.280000	-654.650523	-664.316108	6.203344	4.397268	
0.281000	-654.650524	-664.360289	6.231698	4.407855	
0.282000	-654.650525	-664.404543	6.260100	4.418423	
0.283000	-654.650526	-664.448856	6.288539	4.428969	
0.284000	-654.650527	-664.493213	6.317007	4.439490	
0.285000	-654.650528	-664.537598	6.345493	4.449982	
0.286000	-654.650529	-664.581998	6.373987	4.460443	
0.287000	-654.650530	-664.626396	6.402482	4.470869	
0.288000	-654.650531	-664.670779	6.430966	4.481258	
0.289000	-654.650531	-664.715132	6.459431	4.491606	
0.290000	-654.650532	-664.759440	6.487867	4.501912	
0.291000	-654.650533	-664.803688	6.516265	4.512171	
0.292000	-654.650534	-664.847863	6.544616	4.522382	
0.293000	-654.650535	-664.891950	6.572910	4.532541	
0.294000	-654.650536	-664.935935	6.601138	4.542646	
0.295000	-654.650537	-664.979802	6.629292	4.552695	
0.296000	-654.650538	-665.023540	6.657362	4.562684	
0.297000	-654.650539	-665.067133	6.685339	4.572611	
0.298000	-654.650540	-665.110567	6.713215	4.582474	
0.299000	-654.650541	-665.153829	6.740980	4.592270	
0.300000	-654.650541	-665.196906	6.768625	4.601996	
0.301000	-654.650542	-665.239783	6.796143	4.611651	
0.302000	-654.650543	-665.282448	6.823525	4.621231	
0.303000	-654.650544	-665.324886	6.850761	4.630735	
0.304000	-654.650545	-665.367086	6.877844	4.640161	
0.305000	-654.650546	-665.409033	6.904765	4.649505	
0.306000	-654.650546	-665.450716	6.931517	4.658766	
0.307000	-654.650547	-665.492121	6.958090	4.667942	
0.308000	-654.650548	-665.533236	6.984477	4.677030	
0.309000	-654.650549	-665.574049	7.010670	4.686029	
0.310000	-654.650550	-665.614547	7.036661	4.694936	
0.311000	-654.650550	-665.654718	7.062442	4.703749	
0.312000	-654.650551	-665.694550	7.088006	4.712467	
0.313000	-654.650552	-665.734032	7.113345	4.721088	
0.314000	-654.650553	-665.773153	7.138452	4.729609	
0.315000	-654.650553	-665.811900	7.163319	4.738030	
0.316000	-654.650554	-665.850262	7.187939	4.746347	
0.317000	-654.650555	-665.888229	7.212306	4.754560	
0.318000	-654.650556	-665.925790	7.236412	4.762667	
0.319000	-654.650556	-665.962934	7.260251	4.770666	
0.320000	-654.650557	-665.999651	7.283815	4.778555	
0.321000	-654.650558	-666.035930	7.307098	4.786334	
0.322000	-654.650558	-666.071762	7.330095	4.794000	
0.323000	-654.650559	-666.107137	7.352798	4.801552	
0.324000	-654.650559	-666.142044	7.375201	4.808988	
0.325000	-654.650560	-666.176475	7.397298	4.816308	
0.326000	-654.650561	-666.210421	7.419084	4.823510	
0.327000	-654.650561	-666.243873	7.440553	4.830592	
0.328000	-654.650562	-666.276821	7.461698	4.837553	
0.329000	-654.650562	-666.309257	7.482516	4.844393	
0.330000	-654.650563	-666.341174	7.502999	4.851109	
0.331000	-654.650563	-666.372562	7.523144	4.857701	
0.332000	-654.650564	-666.403415	7.542945	4.864168	
0.333000	-654.650564	-666.433724	7.562397	4.870509	
0.334000	-654.650565	-666.463482	7.581495	4.876721	
0.335000	-654.650565	-666.492683	7.600236	4.882806	
0.336000	-654.650566	-666.521318	7.618614	4.888760	
0.337000	-654.650566	-666.549382	7.636625	4.894585	
0.338000	-654.650567	-666.576868	7.654265	4.900278	
0.339000	-654.650567	-666.603770	7.671530	4.905839	
0.340000	-654.650568	-666.630081	7.688416	4.911267	
0.341000	-654.650568	-666.655797	7.704921	4.916561	
0.342000	-654.650568	-666.680912	7.721039	4.921721	
0.343000	-654.650569	-666.705420	7.736768	4.926745	
0.344000	-654.650569	-666.729317	7.752105	4.931634	
0.345000	-654.650569	-666.752598	7.767046	4.936386	
0.346000	-654.650570	-666.775259	7.781590	4.941001	
0.347000	-654.650570	-666.797295	7.795732	4.945478	
0.348000	-654.650570	-666.818702	7.809471	4.949817	
0.349000	-654.650570	-666.839478	7.822804	4.954017	
0.350000	-654.650571	-666.859617	7.835730	4.958078	
0.351000	-654.650571	-666.879118	7.848245	4.961999	
0.352000	-654.650571	-666.897977	7.860349	4.965780	
0.353000	-654.650571	-666.916192	7.872039	4.969421	
0.354000	-654.650572	-666.933760	7.883314	4.972922	
0.355000	-654.650572	-666.950679	7.894172	4.976281	
0.356000	-654.650572	-666.966947	7.904613	4.979500	
0.357000	-654.650572	-666.982563	7.914635	4.982577	
0.358000	-654.650572	-666.997526	7.924238	4.985513	
0.359000	-654.650572	-667.011833	7.933421	4.988307	
0.360000	-654.650572	-667.025485	7.942182	4.990960	
0.361000	-654.650572	-667.038481	7.950523	4.993472	
0.362000	-654.650572	-667.050820	7.958442	4.995842	
0.363000	-654.650572	-667.062502	7.965940	4.998071	
0.364000	-654.650572	-667.073528	7.973016	5.000159	
0.365000	-654.650572	-667.083898	7.979672	5.002107	
0.366000	-654.650572	-667.093613	7.985906	5.003913	
0.367000	-654.650572	-667.102673	7.991721	5.005580	
0.368000	-654.650572	-667.111080	7.997117	5.007107	
0.369000	-654.650572	-667.118836	8.002094	5.008494	
0.370000	-654.650572	-667.125941	8.006655	5.009743	
0.371000	-654.650572	-667.132398	8.010799	5.010853	
0.372000	-654.650572	-667.138210	8.014529	5.011826	
0.373000	-654.650572	-667.143377	8.017845	5.012662	
0.374000	-654.650572	-667.147905	8.020751	5.013361	
0.375000	-654.650572	-667.151794	8.023247	5.013926	
0.376000	-654.650572	-667.155048	8.025336	5.014355	
0.377000	-654.650571	-667.157672	8.027020	5.014652	
0.378000	-654.650571	-667.159667	8.028301	5.014816	
0.379000	-654.650571	-667.161039	8.029181	5.014848	
0.380000	-654.650571	-667.161791	8.029664	5.014751	
0.381000	-654.650570	-667.161928	8.029752	5.014525	
0.382000	-654.650570	-667.161454	8.029448	5.014172	
0.383000	-654.650570	-667.160374	8.028755	5.013692	
0.384000	-654.650570	-667.158693	8.027676	5.013089	
0.385000	-654.650569	-667.156416	8.026215	5.012363	
0.386000	-654.650569	-667.153549	8.024375	5.011516	
0.387000	-654.650569	-667.150097	8.022160	5.010551	
0.388000	-654.650568	-667.146067	8.019574	5.009468	
0.389000	-654.650568	-667.141464	8.016620	5.008271	
0.390000	-654.650568	-667.136294	8.013302	5.006962	
0.391000	-654.650567	-667.130565	8.009625	5.005543	
0.392000	-654.650567	-667.124282	8.005593	5.004017	
